target_label,definition
orange,orange (description)
glove,gloves
slide,slide (object)
dress,dress (object)
can,can (object)
boot,boots
doggy,dog
birdie,bird
fish,fish (animal)
carrot,carrots
chicken,chicken (animal)
drink,drink (beverage)
toy,toy (object)
baba,NA
highchair,NA
water,water (beverage)
blocks,block
sippycup,NA
kittycat,kitty
whale,NA
sunglasses,NA
teddy,teddybear
phone,NA
tablet,NA
piano,NA
shoes,shoe
socks,sock
diapey,diaper
guitar,NA
fan,NA
waterbottle,NA
blueberries,NA
paci,NA
drum,NA
remote,NA
pacifier,NA
sippy,NA
kangaroo,NA
wagon,NA
bike,NA